81.153.115.24:62293|||MRPH|1.1.1.4|2006/08/10 01:28:54 PM
70.173.125.98:14451|||MRPH|1.1.1.4|2006/08/10 02:33:04 PM
68.20.5.189:6346|47||RAZA|2.1.0.0|2006/08/10 02:56:02 PM
70.177.197.165:7522|||MRPH|1.1.1.4|2006/08/10 03:07:54 PM
84.192.181.167:9242|||MESH|1.1.1.5|2006/08/10 03:17:15 PM
70.192.209.43:38109|||MRPH|1.1.1.4|2006/08/10 03:27:15 PM
84.209.236.229:1301|||MRPH|1.1.1.4|2006/08/10 03:27:39 PM
82.251.107.233:2600|||MRPH|1.1.1.4|2006/08/10 03:32:06 PM
24.40.142.39:31453|||MRPH|1.1.1.4|2006/08/10 03:40:12 PM
196.27.76.85:33389|||MRPH|1.1.1.4|2006/08/10 03:45:59 PM
